#,,Whisky,Stated Age,Strength,Size,Rating,Votes,
260,,Bowmore 1966 DE,22,43.0 % Vol.,750 ml,93.68,24,
261,,Ardbeg 1974?Single Cask,,48.0 % Vol.,700 ml,93.67,32,
262,,Laphroaig 1966 SV?Vintage Collection - Dumpy,30,48.9 % Vol.,700 ml,93.67,26,
263,,Springbank 1966?Local Barley,31,52.1 % Vol.,700 ml,93.67,20,
264,,Bowmore 18-year-old Sherriff's?Pure Scotch Malt,18,43.0 % Vol.,750 ml,93.67,20,
265,,Pride of Strathspey 1937 GM?Celtic Series - Book of Kells,50,40.0 % Vol.,750 ml,93.67,41,
266,,Macallan 1937 GM?A Pure Highland Malt,32,43.0 % Vol.,750 ml,93.67,22,
267,,Bowmore 1971?Vintage Distillation,34,51.0 % Vol.,750 ml,93.67,36,
268,,Ardbeg 1967 SV?Vintage Collection - Dumpy,28,53.2 % Vol.,700 ml,93.67,128,
269,,Rechlerich 1964 NCS,40,53.5 % Vol.,700 ml,93.67,149,
270,,Macallan 1965?The Anniversary Malt,25,43.0 % Vol.,750 ml,93.67,20,
271,,Springbank 100¡Æ Proof?Green Thistle,12,50.0 % Vol.,750 ml,93.66,60,
272,,Ardbeg 1967 SV?Vintage Collection - Dumpy,30,52.0 % Vol.,700 ml,93.66,44,
273,,Ardbeg 1974,,51.8 % Vol.,700 ml,93.65,48,
274,,Bowmore 1968?Anniversary Edition,32,45.5 % Vol.,750 ml,93.65,23,
275,,"Longrow 1973?Screw cap, distillery label",,46.0 % Vol.,750 ml,93.65,45,
276,,Port Ellen 12-year-old JM?Fine Malt Selection,12,62.7 % Vol.,750 ml,93.65,82,
277,,Caol Ila 1968 GM?Cask Series,,58.5 % Vol.,750 ml,93.65,69,
278,,Glen Grant 1952 GM?Celtic Series - Book of Kells,59,49.2 % Vol.,700 ml,93.64,16,
279,,Macallan 1938 GM?A Pure Highland Malt,35,43.0 % Vol.,750 ml,93.64,25,
280,,Macallan 1972?Fine & Rare,29,58.4 % Vol.,700 ml,93.64,20,
281,,Bowmore 1968 DT?Rare Auld,37,40.5 % Vol.,700 ml,93.63,32,
282,,Dalmore 1974?Matusalem Sherry Finesse,,42.0 % Vol.,700 ml,93.63,26,
283,,Ardbeg 1974,,52.1 % Vol.,700 ml,93.63,26,
284,,Macallan 1964?Special Selection,,43.0 % Vol.,750 ml,93.63,18,
285,,Port Ellen 12-year-old?Visit from H.M. The Queen to Port Ellen Maltings,12,40.0 % Vol.,750 ml,93.62,17,
286,,Macallan 1938 GM?A Pure Highland Malt,37,43.0 % Vol.,750 ml,93.62,15,
287,,Ardbeg 1974 Provenance?1st Release,,55.6 % Vol.,700 ml,93.62,180,
288,,Macallan 1937 GM?Macallan-Glenlivet - A Pure Highland Malt,37,43.0 % Vol.,750 ml,93.62,15,
